BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID,,BDE,BN,UIC,CO,PLT,SEC,SQD,Position,PARA,LIN,PERSID
2CR,2CRHQ,WAL0AA,HHT,,,,Commander,101,,,,2CR,FAS2CR,WAK5AA,T,H,,,Commander,101,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Commander,101,,,,2CR,FAS2CR,WAK5AA,T,H,,,Vehicle Driver,101,,
2CR,2CRHQ,WAL0AA,HHT,,,,Interim Armored Vehicle (IAV) Driver,101,,,,2CR,FAS2CR,WAK5AA,T,H,,,Executive Officer (XO),101,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant Operations Sergeant,101,,,,2CR,FAS2CR,WAK5AA,T,H,,,Command Sergeant Major (CSM),101,,
2CR,2CRHQ,WAL0AA,HHT,,,,Vehicle Driver,101,,,,2CR,FAS2CR,WAK5AA,T,H,,,Tactical Data System Operator,101,,
2CR,2CRHQ,WAL0AA,HHT,,,,Command Sergeant Major (CSM),101,,,,2CR,FAS2CR,WAK5AA,T,,,,S2/Intelligence Staff Officer,102,,
2CR,2CRHQ,WAL0AA,HHT,,,,Vehicle Driver,101,,,,2CR,FAS2CR,WAK5AA,T,,,,Intelligence Analyst,102,,
2CR,2CRHQ,WAL0AA,HHT,,,,Executive Officer (XO),102,,,,2CR,FAS2CR,WAK5AA,T,,,,Intelligence Sergeant,102,,
2CR,2CRHQ,WAL0AA,HHT,,,,Personnel Staff Officer/S1,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Intelligence Analyst,102,,
2CR,2CRHQ,WAL0AA,HHT,,,,S2/Intelligence Staff Officer,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Assistant S3,102,,,,2CR,FAS2CR,WAK5AA,T,,,,S3/Operations Staff Officer,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Public Affairs (PA) Officer,102,,,,2CR,FAS2CR,WAK5AA,T,,,,Tactical Data System Operator,103,,
2CR,2CRHQ,WAL0AA,HHT,,,,Brigade Judge Advocate (JA),102,,,,2CR,FAS2CR,WAK5AA,T,,,,Operations Officer,103,,
